leg,ok,whyCode,nWaypoints,failWaypoint,minSelfClear,minBoxMargin,minFloorDist,envChecked,tolXY,tolZfloor,tolZceil,seed
hw,1,OK,14,0,0.0172144,0.368153,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0172234,0.368153,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,14,0,0.0172234,0.368153,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,16,0,0.0171383,0.238653,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,16,0,0.0171383,0.238653,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,55,0,0.0171442,0.15,0.156678,1,0.12,0,0.12,NaN
hw,1,OK,55,0,0.0171442,0.15,0.156678,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172287,0.150222,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172287,0.150222,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171633,0.145678,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171633,0.145678,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171633,0.145678,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171633,0.145678,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,25,0,0.0171794,0.150222,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,25,0,0.0171794,0.150222,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.017171,0.357996,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.017171,0.355827,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.017171,0.357996,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.017171,0.357996,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0171931,0.357996,0.155677,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0171931,0.357996,0.155677,1,0.12,0,0.12,NaN
